W_GH	W_CVARS	W_Field	Length	Width	Density
22.59	22.44	27.57	8.33	5.07	2
15.64	15.12	NaN	6.04	5.02	1.9
23.55	23.02	26.76	8.47	5.26	1.88
11.87	11.36	NaN	6.96	3.73	2.24
10.6	12.21	NaN	5.8	4.01	2.5
17.27	14.4	17.36	6.91	3.83	2.71
19.44	16.36	18.94	8.36	4.04	2.29
13.7	9.88	10.11	4.95	3.33	3.44
21.03	NaN	NaN	NaN	NaN	NaN
19.73	NaN	NaN	NaN	NaN	NaN
22.48	19.39	25.2	7.96	4.69	2.12
23.63	22.43	25.4	8.38	4.99	2.05
NaN	NaN	NaN	NaN	NaN	NaN
24.5	23.2	28.78	8.46	5.43	1.78
24.25	19.33	26.36	9.43	5.4	1.34
15.96	17.56	22.12	7.14	5.35	1.64
20.52	16.21	24.29	6.52	4.67	2.18
13.62	12.81	NaN	5.63	4.11	2.57
16.07	13.18	15.91	7.39	4.13	2
24.19	NaN	NaN	NaN	NaN	NaN
22.93	NaN	NaN	NaN	NaN	NaN
24.78	NaN	NaN	NaN	NaN	NaN
18.46	NaN	NaN	NaN	NaN	NaN
21.91	22.98	26.41	7.47	6	1.63
21.91	17.78	22.12	7.92	4.6	2.03
18.09	15.99	19.26	6.83	5.12	1.71
24.96	24.2	28.09	9.67	5.18	1.78
16.13	12.92	14.86	6.25	4.21	2.23
16.92	16.22	19.11	6.62	5.06	1.83
16.66	17.1	23.05	6.09	5.13	2.04
15.35	13.71	15.99	6.03	5.24	1.58
16.13	17.8	23.04	8.18	5.17	1.55
25.87	23.79	26.31	8.79	5.69	1.6
16.99	15.09	19.1	6.9	4.72	1.87
12.53	15.27	19.37	6.95	4.63	1.96
20.36	18.99	24.75	6.35	5.15	2.15
10.62	9.54	11.14	5.77	4.43	1.61
15.69	16.48	21.61	6.73	5.64	1.47
13.98	11.02	15.5	5.4	3.98	2.46
24.57	21.64	31.19	9.12	5.61	1.44
11.21	11.18	12.44	5.83	3.84	2.48
10.9	10.18	14.84	5.38	3.35	3.22
7.33	NaN	NaN	NaN	NaN	NaN
17.61	16.49	18.03	7.47	5.03	1.67
23.48	18.69	24.35	7.55	5.67	1.47
9.95	10.27	12.61	4.59	4.29	2.32
15.53	14.19	18.28	6.17	4.65	2.03
18.74	19.29	23.76	7.48	5.17	1.84
15.49	13.27	15.37	6.24	4.5	2.01
26.31	25.13	31.42	9.08	5.75	1.6
21.66	21.35	27.9	8.04	5.18	1.89
19.73	17.07	17.6	6.64	5.27	1.77
18.31	13.96	21.51	6.88	4.72	1.74
11.41	11.87	NaN	6.05	4.62	1.76
19.65	23.85	26.4	9.78	5.97	1.31
17.07	16.88	21.1	6.53	5.2	1.83
18.38	17.43	19.77	6.8	5.59	1.57
18.94	19.56	19.96	9.02	5.55	1.34
16.04	16.43	22.16	7.13	5.23	1.61
21.06	25.95	24.76	8.92	6.48	1.32
22.46	23.32	26.82	9.1	5.2	1.81
19.97	23.4	28.9	8.83	5.45	1.7
18.3	16.59	21.51	6.74	5.27	1.69
20.84	16.37	19.25	7.1	4.73	1.97
22.42	19.98	26	7.82	5.81	1.45
15.83	15.21	19.41	6.57	4.27	2.42
22.46	16.97	23.38	7.33	5.04	1.74
18.42	17.35	18.99	6.71	5.36	1.72
17.22	17.58	22.82	7.45	5.15	1.7
